customer_id,total_orders,total_items,total_revenue,first_order_date,last_order_date,days_since_last_order,churned,avg_order_value
12368,1,330,917.7,2010-03-21 15:56:00,2010-03-21 15:56:00,628,1,917.7
12369,3,1241,1791.15,2010-03-08 08:09:00,2010-10-22 13:13:00,413,1,597.0500000000001
12370,7,2605,4320.31,2010-02-09 09:41:00,2011-10-19 14:51:00,51,0,617.1871428571429
12371,5,1436,4067.38,2010-03-04 18:23:00,2011-10-26 10:16:00,44,0,813.476
12372,3,794,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,71,0,432.68
12373,3,516,1127.65,2010-02-04 12:08:00,2011-02-01 13:10:00,311,1,375.8833333333334
12374,4,1362,2989.22,2010-04-30 14:01:00,2011-11-14 15:37:00,25,0,747.305
12375,2,178,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,10,0,228.75
12376,2,240,503.15,2010-10-18 08:42:00,2010-11-15 12:15:00,389,1,251.575
12377,4,2105,3426.32,2010-04-29 15:34:00,2011-01-28 15:45:00,315,1,856.58
12378,2,3316,5416.32,2010-05-26 14:07:00,2011-08-02 10:34:00,129,1,2708.16
12379,4,815,1620.22,2010-06-23 12:49:00,2011-09-19 10:09:00,81,0,405.055
12380,11,3355,9676.3,2010-02-15 12:05:00,2011-11-18 11:27:00,21,0,879.6636363636363
12381,5,808,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,4,0,369.062
12383,5,1532,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,184,1,370.11199999999997
12384,2,126,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,28,0,292.635
12385,1,612,1938.4,2010-11-25 15:14:00,2010-11-25 15:14:00,379,1,1938.4
12386,2,568,660.8,2010-12-08 09:53:00,2011-01-06 12:37:00,337,1,330.4
12387,1,134,143.94,2010-10-20 16:27:00,2010-10-20 16:27:00,415,1,143.94
12388,8,2001,3901.11,2010-05-06 12:54:00,2011-11-24 12:30:00,15,0,487.63875
12389,3,614,1433.33,2010-02-22 10:15:00,2010-11-02 11:52:00,402,1,477.77666666666664
12390,1,353,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,79,0,549.84
12391,6,1220,2773.42,2010-02-15 10:12:00,2011-11-18 12:07:00,21,0,462.2366666666667
12392,1,73,234.75,2010-04-27 14:04:00,2010-04-27 14:04:00,591,1,234.75
12393,6,1311,2399.45,2010-10-07 13:49:00,2011-09-28 15:41:00,72,0,399.9083333333333
12394,2,819,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,63,0,636.24
12395,15,3733,5067.27,2010-04-16 10:16:00,2011-11-20 15:21:00,19,0,337.81800000000004
12396,1,591,931.43,2010-02-03 13:22:00,2010-02-03 13:22:00,674,1,931.43
12397,2,1263,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,35,0,1204.95
12398,1,1394,1635.66,2011-10-25 10:27:00,2011-10-25 10:27:00,45,0,1635.66
12399,7,2198,1962.3,2010-03-05 08:45:00,2011-08-12 13:15:00,119,1,280.3285714285714
12400,1,91,205.25,2010-10-21 13:45:00,2010-10-21 13:45:00,414,1,205.25
12401,1,11,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,303,1,84.3
12402,6,584,1256.9,2010-02-07 12:41:00,2011-01-20 13:49:00,323,1,209.48333333333335
12403,2,260,1019.36,2010-07-06 11:39:00,2011-10-21 10:51:00,49,0,509.68
12404,1,1,63.24,2010-01-26 16:25:00,2010-01-26 16:25:00,682,1,63.24
12405,1,857,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,148,1,1710.39
12406,5,3416,6390.36,2010-01-11 14:04:00,2011-11-17 19:22:00,22,0,1278.072
12407,5,1416,1708.12,2011-03-20 13:21:00,2011-10-21 10:11:00,49,0,341.62399999999997
12408,8,2229,4340.77,2010-07-29 13:27:00,2011-11-07 12:27:00,32,0,542.59625
12409,7,13143,23419.29,2010-05-23 15:21:00,2011-09-22 10:38:00,78,0,3345.612857142857
12410,3,341,1013.71,2010-07-25 13:26:00,2011-02-04 10:39:00,308,1,337.90333333333336
12411,1,138,346.9,2010-10-26 09:25:00,2010-10-26 09:25:00,409,1,346.9
12412,6,1997,2596.93,2010-06-18 13:22:00,2011-09-26 10:16:00,74,0,432.82166666666666
12413,4,319,999.45,2010-11-02 13:26:00,2011-10-04 09:00:00,66,0,249.8625
12414,6,495,952.41,2010-09-02 12:22:00,2011-05-06 14:51:00,217,1,158.73499999999999
12415,28,91447,144458.37,2010-06-30 08:30:00,2011-11-15 14:22:00,24,0,5159.2275
12416,1,132,202.56,2010-02-21 10:19:00,2010-02-21 10:19:00,656,1,202.56
12417,20,2890,6816.91,2009-12-06 10:30:00,2011-12-06 14:52:00,3,0,340.8455
12418,4,1088,2021.2,2010-03-19 14:47:00,2011-08-19 11:08:00,112,1,505.3
12419,2,231,503.01,2010-10-22 10:40:00,2010-11-19 10:04:00,385,1,251.505
12420,1,345,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,63,0,600.39
12421,6,652,1098.6,2010-07-22 13:57:00,2011-11-24 09:07:00,15,0,183.1
12422,17,2596,5231.8,2009-12-18 12:44:00,2011-09-05 09:48:00,95,1,307.7529411764706
12423,10,1793,2622.39,2010-08-31 09:31:00,2011-12-09 10:10:00,0,0,262.239
12424,4,2025,3340.03,2010-06-09 15:15:00,2011-06-30 12:06:00,162,1,835.0075
12425,2,1147,1741.41,2010-09-17 14:10:00,2011-09-22 17:31:00,78,0,870.705
12426,2,584,1345.21,2010-02-15 08:41:00,2011-05-29 12:26:00,194,1,672.605
12427,3,612,1129.3,2010-12-03 10:44:00,2011-11-18 08:56:00,21,0,376.43333333333334
12428,9,3536,7956.46,2011-03-01 09:33:00,2011-11-14 08:22:00,25,0,884.0511111111111
12429,8,3344,7485.91,2010-06-11 13:28:00,2011-11-30 17:22:00,9,0,935.73875
12430,1,117,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,43,0,256.4
12431,27,4717,10857.97,2010-01-15 09:04:00,2011-11-04 11:55:00,35,0,402.147037037037
12432,5,1801,5059.32,2011-06-20 13:27:00,2011-10-28 11:43:00,42,0,1011.8639999999999
12433,10,17116,20581.26,2010-08-20 09:23:00,2011-12-09 10:02:00,0,0,2058.1259999999997
12434,3,532,1103.43,2010-11-23 13:38:00,2011-09-16 12:38:00,84,0,367.81
12435,6,4958,13925.93,2009-12-02 13:58:00,2011-09-21 09:06:00,79,0,2320.9883333333332
12436,1,211,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,99,1,509.01
12437,39,8000,12683.4,2009-12-02 16:24:00,2011-12-08 11:35:00,1,0,325.2153846153846
12438,2,1180,2906.85,2011-07-22 13:29:00,2011-11-25 13:28:00,14,0,1453.425
12439,2,484,1158.18,2009-12-14 08:40:00,2010-01-26 12:11:00,682,1,579.09
12440,2,331,859.2,2009-12-22 12:03:00,2010-09-03 13:11:00,462,1,429.6
12441,1,242,347.1,2010-12-08 10:45:00,2010-12-08 10:45:00,366,1,347.1
12442,1,182,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,3,0,172.06
12443,1,182,485.31,2009-12-07 15:42:00,2009-12-07 15:42:00,732,1,485.31
12444,5,1153,5005.46,2011-06-21 14:00:00,2011-11-18 13:23:00,21,0,1001.092
12445,2,206,434.98,2010-10-15 12:28:00,2011-11-17 18:43:00,22,0,217.49
12446,1,351,1002.31,2011-10-13 12:50:00,2011-10-13 12:50:00,57,0,1002.31
12447,1,190,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,243,1,476.49
12448,1,243,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,44,0,449.45
12449,6,2282,4835.89,2010-09-27 09:37:00,2011-11-17 13:46:00,22,0,805.9816666666667
12450,5,442,688.2,2010-08-22 13:11:00,2011-07-06 14:41:00,156,1,137.64000000000001
12451,8,9359,12669.88,2010-06-28 12:58:00,2011-11-29 08:40:00,10,0,1583.735
12452,2,185,430.57,2011-11-23 08:05:00,2011-11-23 10:28:00,16,0,215.285
12453,1,473,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,134,1,707.09
12454,5,7703,16679.78,2010-10-14 17:33:00,2011-10-14 17:13:00,56,0,3335.9559999999997
12455,10,3302,5879.95,2009-12-18 12:33:00,2011-09-27 15:31:00,73,0,587.995
12456,3,1633,3181.04,2011-03-30 09:12:00,2011-10-26 14:41:00,44,0,1060.3466666666666
12457,8,1094,2995.91,2010-09-30 17:59:00,2011-10-04 13:13:00,66,0,374.48875
12458,4,986,1777.49,2010-08-09 10:33:00,2011-09-29 15:25:00,71,0,444.3725
12459,1,258,454.36,2010-04-13 14:53:00,2010-04-13 14:53:00,605,1,454.36
12460,1,170,326.65,2010-09-09 13:51:00,2010-09-09 13:51:00,456,1,326.65
12461,2,287,826.88,2011-07-08 10:23:00,2011-09-06 16:57:00,94,1,413.44
12462,2,536,1189.59,2011-02-09 14:44:00,2011-11-21 09:11:00,18,0,594.795
12463,4,776,1344.78,2011-04-12 12:47:00,2011-10-17 13:44:00,53,0,336.195
12464,8,112,1212.05,2011-02-03 13:30:00,2011-11-29 13:33:00,10,0,151.50625
12465,2,479,742.19,2011-06-23 13:37:00,2011-11-22 16:34:00,17,0,371.095
12466,1,1,56.73,2010-01-26 16:26:00,2010-01-26 16:26:00,682,1,56.73
12467,1,129,132.8,2010-10-12 15:41:00,2010-10-12 15:41:00,423,1,132.8
12468,5,2201,3670.74,2010-01-26 10:09:00,2011-06-05 11:36:00,187,1,734.1479999999999
12469,2,2552,3070.54,2010-06-21 10:30:00,2010-07-05 12:40:00,522,1,1535.27
12470,1,95,211.95,2010-01-19 11:01:00,2010-01-19 11:01:00,689,1,211.95
12471,79,16882,39963.79,2009-12-07 10:41:00,2011-12-07 15:43:00,2,0,505.8707594936709
12472,19,11350,17880.59,2009-12-14 10:49:00,2011-11-07 14:01:00,32,0,941.0836842105264
12473,5,2439,3938.55,2011-06-01 10:15:00,2011-11-10 13:46:00,29,0,787.71
12474,31,7954,12424.45,2010-02-11 09:41:00,2011-11-22 14:39:00,17,0,400.7887096774194
12475,2,771,1149.64,2010-10-26 08:49:00,2011-10-17 10:10:00,53,0,574.82
12476,23,5645,14115.41,2010-07-26 09:04:00,2011-11-24 12:40:00,15,0,613.7134782608696
12477,9,6119,20276.37,2010-03-26 14:01:00,2011-11-17 09:51:00,22,0,2252.93
12478,1,236,680.99,2011-12-06 09:56:00,2011-12-06 09:56:00,3,0,680.99
12479,1,385,527.2,2011-11-28 13:26:00,2011-11-28 13:26:00,11,0,527.2
12480,7,2952,5464.85,2010-07-20 13:21:00,2011-11-11 14:52:00,28,0,780.6928571428572
12481,15,7253,12361.39,2010-04-11 13:10:00,2011-11-17 08:29:00,22,0,824.0926666666667
12482,29,27042,23691.4,2010-02-24 10:24:00,2010-05-12 16:51:00,576,1,816.944827586207
12483,19,2172,5120.58,2010-01-31 13:28:00,2011-11-22 17:02:00,17,0,269.5042105263158
12484,12,3271,6370.15,2010-01-27 16:41:00,2011-11-07 11:37:00,32,0,530.8458333333333
12485,1,414,708.1,2010-06-28 15:22:00,2010-06-28 15:22:00,529,1,708.1
12486,1,523,1037.28,2010-10-04 12:14:00,2010-10-04 12:14:00,431,1,1037.28
12487,1,174,285.3,2009-12-09 11:36:00,2009-12-09 11:36:00,730,1,285.3
12488,3,529,1298.66,2011-09-25 10:34:00,2011-11-30 08:50:00,9,0,432.8866666666667
12489,1,105,334.93,2011-01-07 13:13:00,2011-01-07 13:13:00,336,1,334.93
12490,21,5906,9823.64,2009-12-01 12:52:00,2011-12-04 16:07:00,5,0,467.79238095238094
12491,1,260,460.4,2011-11-01 12:18:00,2011-11-01 12:18:00,38,0,460.4
12492,3,444,715.21,2010-11-01 14:58:00,2011-10-07 15:15:00,63,0,238.40333333333334
12493,2,207,433.74,2011-05-26 14:53:00,2011-06-27 10:17:00,165,1,216.87
12494,9,988,1872.87,2010-05-12 13:52:00,2011-11-24 09:34:00,15,0,208.09666666666666
12495,1,130,357.4,2010-03-09 10:53:00,2010-03-09 10:53:00,640,1,357.4
12496,2,33,54.09,2010-03-29 13:57:00,2010-03-29 14:06:00,620,1,27.045
12497,3,5685,6248.5,2010-03-05 09:39:00,2011-09-19 12:29:00,81,0,2082.8333333333335
12498,3,159,403.7,2011-10-13 09:30:00,2011-11-18 12:53:00,21,0,134.56666666666666
12499,1,302,393.72,2010-05-28 15:12:00,2010-05-28 15:12:00,560,1,393.72
12500,19,3377,5955.21,2010-02-04 15:05:00,2011-11-16 16:20:00,23,0,313.4321052631579
12501,1,1783,2169.39,2011-01-07 12:28:00,2011-01-07 12:28:00,336,1,2169.39
12502,5,820,3723.87,2011-02-03 10:41:00,2011-09-05 11:52:00,95,1,744.774
12503,1,561,1126.0,2010-05-04 13:59:00,2010-05-04 13:59:00,584,1,1126.0
12504,4,458,779.05,2010-04-22 10:24:00,2011-11-21 16:02:00,18,0,194.7625
12505,1,324,955.2,2010-10-27 09:18:00,2010-10-27 09:18:00,408,1,955.2
12506,1,23,73.5,2011-04-21 08:54:00,2011-04-21 08:54:00,232,1,73.5
12507,4,1256,1844.06,2010-05-04 09:23:00,2011-07-28 17:09:00,134,1,461.015
12508,2,272,398.27,2011-11-10 16:27:00,2011-11-13 15:37:00,26,0,199.135
12509,1,55,176.5,2011-02-28 14:45:00,2011-02-28 14:45:00,284,1,176.5
12510,9,2049,5178.02,2009-12-04 13:47:00,2011-07-20 10:15:00,142,1,575.3355555555556
12511,1,1753,3084.02,2010-10-07 10:39:00,2010-10-07 10:39:00,428,1,3084.02
12512,2,99,138.03,2011-10-04 14:53:00,2011-10-04 14:55:00,66,0,69.015
12513,1,462,612.29,2011-08-19 10:51:00,2011-08-19 10:51:00,112,1,612.29
12514,2,840,1597.76,2010-03-08 12:18:00,2011-03-17 16:38:00,267,1,798.88
12515,1,131,383.7,2010-12-21 15:43:00,2010-12-21 15:43:00,353,1,383.7
12516,4,1952,2648.62,2010-04-19 14:14:00,2011-09-23 09:13:00,77,0,662.155
12517,5,1371,2502.84,2011-06-02 15:13:00,2011-11-11 14:04:00,28,0,500.56800000000004
12518,5,1318,2056.89,2011-08-21 13:18:00,2011-12-09 10:13:00,0,0,411.378
12519,2,395,726.54,2010-08-20 08:21:00,2011-10-07 09:26:00,63,0,363.27
12520,5,1439,2634.26,2011-03-11 11:35:00,2011-09-21 15:23:00,79,0,526.8520000000001
12521,1,309,599.68,2011-07-20 10:51:00,2011-07-20 10:51:00,142,1,599.68
12522,2,194,192.72,2011-10-19 14:41:00,2011-10-31 15:30:00,39,0,96.36
12523,23,2275,4372.15,2009-12-07 13:46:00,2011-11-20 12:55:00,19,0,190.09347826086955
12524,17,7178,11126.11,2010-02-08 14:41:00,2011-11-30 15:31:00,9,0,654.4770588235294
12525,3,509,973.73,2010-03-02 14:01:00,2010-07-29 16:08:00,498,1,324.57666666666665
12526,3,632,1316.66,2011-09-06 14:19:00,2011-12-09 12:09:00,0,0,438.8866666666667
12527,5,526,735.51,2010-06-28 15:37:00,2011-09-19 11:55:00,81,0,147.102
12528,6,756,1933.48,2011-01-31 09:05:00,2011-11-30 14:40:00,9,0,322.24666666666667
12529,1,192,316.48,2010-06-29 13:10:00,2010-06-29 13:10:00,528,1,316.48
12530,9,2713,3759.26,2010-03-07 14:37:00,2011-10-11 12:34:00,59,0,417.6955555555556
12531,2,1119,1933.2,2010-01-22 14:17:00,2011-11-25 11:12:00,14,0,966.6
12532,1,153,349.83,2011-11-09 13:47:00,2011-11-09 13:47:00,30,0,349.83
12533,2,704,1367.89,2009-12-01 11:50:00,2010-03-22 10:56:00,627,1,683.945
12534,1,651,1089.18,2011-08-01 10:26:00,2011-08-01 10:26:00,130,1,1089.18
12535,2,219,716.35,2011-06-06 12:47:00,2011-09-09 08:48:00,91,1,358.175
12536,3,2803,12601.83,2011-10-11 14:52:00,2011-10-27 14:20:00,43,0,4200.61
12537,1,449,732.94,2010-10-27 08:36:00,2010-10-27 08:36:00,408,1,732.94
12538,2,336,640.45,2010-11-26 13:02:00,2011-11-10 17:16:00,29,0,320.225
12539,7,4535,11214.75,2009-12-23 13:00:00,2011-11-17 13:30:00,22,0,1602.107142857143
12540,33,11019,22254.49,2009-12-07 16:56:00,2011-11-20 11:31:00,19,0,674.3784848484848
12541,3,680,981.18,2011-03-04 09:32:00,2011-11-10 10:40:00,29,0,327.06
12542,2,522,481.88,2010-03-09 16:26:00,2010-08-12 19:12:00,484,1,240.94
12543,1,688,980.25,2010-09-17 15:51:00,2010-09-17 15:51:00,448,1,980.25
12544,1,136,372.7,2011-11-03 16:15:00,2011-11-03 16:15:00,36,0,372.7
12545,2,523,1000.39,2011-03-25 12:04:00,2011-09-25 13:39:00,75,0,500.195
12546,2,633,1161.5,2011-09-23 09:44:00,2011-10-24 12:09:00,46,0,580.75
12547,3,309,383.58,2010-07-27 13:55:00,2011-05-26 12:38:00,197,1,127.86
12548,1,49,95.2,2011-06-26 15:35:00,2011-06-26 15:35:00,166,1,95.2
12549,6,1366,1575.68,2010-01-11 12:29:00,2010-05-13 12:05:00,575,1,262.61333333333334
12550,1,569,964.83,2011-09-21 14:35:00,2011-09-21 14:35:00,79,0,964.83
12551,1,100,168.0,2010-12-17 11:23:00,2010-12-17 11:23:00,357,1,168.0
12552,2,88,437.82,2011-10-31 12:11:00,2011-11-01 10:02:00,38,0,218.91
12553,12,2325,4608.75,2010-10-12 13:35:00,2011-12-01 16:38:00,8,0,384.0625
12554,1,240,468.5,2010-09-17 12:29:00,2010-09-17 12:29:00,448,1,468.5
12555,1,1,129.23,2010-01-26 16:26:00,2010-01-26 16:26:00,682,1,129.23
12556,2,358,603.71,2011-07-11 13:35:00,2011-10-20 13:06:00,50,0,301.855
12557,8,6782,18716.14,2009-12-17 10:39:00,2011-11-23 16:59:00,16,0,2339.5175
12558,1,196,269.96,2011-12-02 10:41:00,2011-12-02 10:41:00,7,0,269.96
12559,2,283,561.71,2011-01-24 10:12:00,2011-02-02 09:49:00,310,1,280.855
12560,3,1110,2134.01,2011-07-19 15:55:00,2011-12-04 13:54:00,5,0,711.3366666666667
12561,1,177,238.85,2011-02-10 11:39:00,2011-02-10 11:39:00,302,1,238.85
12562,9,2327,4966.92,2010-09-30 13:13:00,2011-12-01 17:20:00,8,0,551.88
12563,1,113,249.24,2010-10-27 09:52:00,2010-10-27 09:52:00,408,1,249.24
12564,1,133,456.9,2011-03-23 14:55:00,2011-03-23 14:55:00,261,1,456.9
12565,1,80,145.92,2011-02-24 10:34:00,2011-02-24 10:34:00,288,1,145.92
12566,1,265,351.65,2011-09-14 14:30:00,2011-09-14 14:30:00,86,0,351.65
12567,15,6086,13709.86,2010-02-11 10:30:00,2011-11-17 11:02:00,22,0,913.9906666666667
12568,1,48,70.0,2010-03-05 09:15:00,2010-03-05 09:15:00,644,1,70.0
12569,32,1801,4124.69,2011-04-01 13:47:00,2011-12-07 16:24:00,2,0,128.8965625
12570,1,1,77.52,2010-01-26 17:28:00,2010-01-26 17:28:00,682,1,77.52
12571,2,523,519.61,2011-08-10 12:35:00,2011-10-31 10:19:00,39,0,259.805
12572,2,452,1020.42,2011-10-19 08:20:00,2011-12-01 09:20:00,8,0,510.21
12573,5,479,717.41,2010-08-31 17:25:00,2011-04-26 15:52:00,227,1,143.482
12574,1,61,218.45,2011-01-28 09:20:00,2011-01-28 09:20:00,315,1,218.45
12575,2,315,622.82,2010-07-01 09:15:00,2010-09-08 13:09:00,457,1,311.41
12576,8,1494,2142.72,2010-07-01 13:46:00,2011-11-04 10:11:00,35,0,267.84
12577,8,1197,1653.75,2009-12-03 19:31:00,2011-11-04 13:24:00,35,0,206.71875
12578,4,2380,4642.45,2010-09-22 11:19:00,2011-11-18 13:30:00,21,0,1160.6125
12579,1,285,440.42,2011-09-22 17:15:00,2011-09-22 17:15:00,78,0,440.42
12580,2,569,1052.9,2010-05-12 11:45:00,2011-04-07 10:24:00,246,1,526.45
12581,1,161,197.71,2011-10-31 08:56:00,2011-10-31 08:56:00,39,0,197.71
12582,4,985,1980.4,2010-05-11 09:55:00,2011-04-15 08:45:00,238,1,495.1
12583,27,8984,14447.44,2009-12-06 11:57:00,2011-12-07 08:07:00,2,0,535.0903703703704
12584,9,416,2338.15,2011-03-04 15:15:00,2011-12-06 09:35:00,3,0,259.7944444444445
12585,2,1279,2040.1,2010-12-23 12:58:00,2011-04-19 13:39:00,234,1,1020.05
12586,4,687,2062.67,2009-12-16 13:15:00,2011-11-22 16:24:00,17,0,515.6675
12587,1,51,144.0,2011-12-02 12:47:00,2011-12-02 12:47:00,7,0,144.0
12588,4,438,958.78,2010-04-21 12:22:00,2011-10-31 15:01:00,39,0,239.695
12589,8,1764,4695.66,2010-01-19 12:26:00,2011-11-11 10:19:00,28,0,586.9575
12590,2,4283,9864.26,2011-05-12 14:46:00,2011-05-12 14:52:00,211,1,4932.13
12591,3,677,1352.15,2010-10-27 10:42:00,2011-01-26 14:35:00,317,1,450.7166666666667
12592,5,1875,2582.66,2010-07-08 14:06:00,2011-09-08 15:04:00,92,1,516.5319999999999
12593,3,206,418.1,2011-05-05 09:29:00,2011-08-23 12:43:00,108,1,139.36666666666667
12594,15,2768,5090.11,2010-03-03 13:51:00,2011-11-02 12:20:00,37,0,339.34066666666666
12595,1,271,299.02,2010-07-23 09:10:00,2010-07-23 09:10:00,504,1,299.02
12596,2,474,618.27,2011-04-11 13:22:00,2011-10-19 13:02:00,51,0,309.135
12597,4,2236,3811.22,2011-03-16 14:00:00,2011-11-20 13:33:00,19,0,952.805
12598,11,2906,4534.09,2010-03-01 09:58:00,2011-11-30 12:18:00,9,0,412.19
12599,13,2189,2296.72,2010-05-11 10:42:00,2011-11-10 13:34:00,29,0,176.67076923076922
12600,21,1414,5043.92,2009-12-07 13:37:00,2011-11-11 10:29:00,28,0,240.18666666666667
12601,6,290,681.26,2010-10-31 10:57:00,2011-06-03 10:17:00,189,1,113.54333333333334
12602,1,162,153.12,2011-10-12 11:22:00,2011-10-12 11:22:00,58,0,153.12
12603,1,63,739.2,2011-11-18 10:42:00,2011-11-18 10:42:00,21,0,739.2
12604,2,201,254.18,2011-03-23 12:06:00,2011-09-21 14:08:00,79,0,127.09
12605,4,929,1232.95,2010-09-07 14:21:00,2010-11-28 14:18:00,376,1,308.2375
12606,1,1,21.0,2010-01-26 16:23:00,2010-01-26 16:23:00,682,1,21.0
12607,1,1228,1579.51,2011-10-10 16:06:00,2011-10-10 16:06:00,60,0,1579.51
12608,1,323,415.79,2010-10-31 10:49:00,2010-10-31 10:49:00,404,1,415.79
12609,9,1553,3435.86,2009-12-20 13:30:00,2011-09-22 16:34:00,78,0,381.76222222222225
12610,5,1049,2099.54,2011-08-05 13:52:00,2011-11-17 09:34:00,22,0,419.908
12611,1,846,1193.32,2011-10-18 13:12:00,2011-10-18 13:12:00,52,0,1193.32
12612,1,262,704.04,2011-09-26 15:35:00,2011-09-26 15:35:00,74,0,704.04
12613,10,4163,6835.07,2009-12-14 13:10:00,2011-10-13 14:59:00,57,0,683.507
12614,1,76,315.6,2011-03-07 10:22:00,2011-03-07 10:22:00,277,1,315.6
12615,8,3317,5740.98,2010-03-18 14:09:00,2011-12-07 15:02:00,2,0,717.6225
12616,3,498,1131.1,2010-11-16 11:38:00,2011-09-05 15:17:00,95,1,377.0333333333333
12617,1,213,355.53,2011-11-10 14:39:00,2011-11-10 14:39:00,29,0,355.53
12618,1,96,177.31,2011-11-18 11:10:00,2011-11-18 11:10:00,21,0,177.31
12619,10,3518,3781.38,2010-05-28 12:52:00,2011-11-23 14:52:00,16,0,378.13800000000003
12620,3,1181,1339.41,2011-05-19 12:10:00,2011-11-25 10:20:00,14,0,446.47
12621,35,13933,24775.81,2010-02-09 12:01:00,2011-12-08 11:25:00,1,0,707.8802857142857
12622,1,69,180.1,2011-04-21 16:39:00,2011-04-21 16:39:00,232,1,180.1
12623,7,1971,3747.84,2010-01-12 11:45:00,2011-03-08 13:50:00,276,1,535.4057142857143
12624,2,355,641.13,2011-06-15 12:34:00,2011-08-25 15:04:00,106,1,320.565
12625,4,3309,5164.88,2010-04-22 11:33:00,2011-05-12 09:54:00,211,1,1291.22
12626,9,3453,6620.48,2011-01-17 11:01:00,2011-11-16 16:06:00,23,0,735.6088888888888
12627,7,2752,4478.53,2011-07-22 13:59:00,2011-11-29 12:07:00,10,0,639.79
12628,3,448,786.46,2011-10-06 09:28:00,2011-12-05 13:15:00,4,0,262.15333333333336
12629,2,722,1558.22,2010-10-12 16:40:00,2010-11-19 09:18:00,385,1,779.11
12630,2,548,1270.88,2011-10-27 10:41:00,2011-11-30 10:48:00,9,0,635.44
12631,6,1607,3481.57,2010-01-15 14:50:00,2011-10-13 13:53:00,57,0,580.2616666666667
12632,2,694,804.88,2010-05-24 09:07:00,2010-07-07 09:39:00,520,1,402.44
12633,7,3238,5678.16,2010-07-02 11:44:00,2011-10-12 11:40:00,58,0,811.1657142857142
12634,2,337,490.0,2010-06-09 15:41:00,2010-06-22 10:05:00,535,1,245.0
12635,4,1949,2930.41,2010-09-09 10:50:00,2011-09-11 11:04:00,89,0,732.6025
12636,1,1,141.0,2009-12-01 09:55:00,2009-12-01 09:55:00,738,1,141.0
12637,12,4284,8340.31,2010-06-14 13:36:00,2011-10-03 13:46:00,67,0,695.0258333333333
12638,2,663,921.49,2010-03-10 10:30:00,2011-11-06 13:11:00,33,0,460.745
12639,3,631,1312.37,2010-03-22 09:05:00,2011-04-15 12:48:00,238,1,437.45666666666665
